country	year	sex	age_gr	mig_variant	edu_variant	lfpr_variant	c0_1	c0_2	c0_3	c1_1	c1_2	c1_3	c2_1	c2_2	c2_3
SK	2015	F	15	0	0	1	2021	10296	0	0	0	0	0	0	0
SK	2015	F	15	0	0	2	2021	10296	0	0	0	0	0	0	0
SK	2015	F	15	0	0	4	2021	10296	0	0	0	0	0	0	0
SK	2015	F	15	0	0	3	2021	10296	0	0	0	0	0	0	0
SK	2015	F	15	0	0	0	100840	36487	5123	880	118	155	0	0	0
SK	2015	F	15	0	3	1	2021	10296	0	0	0	0	0	0	0
SK	2015	F	15	0	3	2	2021	10296	0	0	0	0	0	0	0
SK	2015	F	15	0	3	4	2021	10296	0	0	0	0	0	0	0
SK	2015	F	15	0	3	3	2021	10296	0	0	0	0	0	0	0
SK	2015	F	15	0	3	0	100840	36487	5123	880	118	155	0	0	0
SK	2015	F	15	0	1	1	2021	10296	0	0	0	0	0	0	0
SK	2015	F	15	0	1	2	2021	10296	0	0	0	0	0	0	0
SK	2015	F	15	0	1	4	2021	10296	0	0	0	0	0	0	0
SK	2015	F	15	0	1	3	2021	10296	0	0	0	0	0	0	0
SK	2015	F	15	0	1	0	100840	36487	5123	880	118	155	0	0	0
SK	2015	F	15	0	2	1	2021	10296	0	0	0	0	0	0	0
SK	2015	F	15	0	2	2	2021	10296	0	0	0	0	0	0	0
SK	2015	F	15	0	2	4	2021	10296	0	0	0	0	0	0	0
SK	2015	F	15	0	2	3	2021	10296	0	0	0	0	0	0	0
SK	2015	F	15	0	2	0	100840	36487	5123	880	118	155	0	0	0
SK	2015	F	15	3	0	1	2021	10296	0	0	0	0	0	0	0
SK	2015	F	15	3	0	2	2021	10296	0	0	0	0	0	0	0
SK	2015	F	15	3	0	4	2021	10296	0	0	0	0	0	0	0
SK	2015	F	15	3	0	3	2021	10296	0	0	0	0	0	0	0
SK	2015	F	15	3	0	0	100840	36487	5123	880	118	155	0	0	0
SK	2015	F	15	3	3	1	2021	10296	0	0	0	0	0	0	0
SK	2015	F	15	3	3	2	2021	10296	0	0	0	0	0	0	0
SK	2015	F	15	3	3	4	2021	10296	0	0	0	0	0	0	0
SK	2015	F	15	3	3	3	2021	10296	0	0	0	0	0	0	0
SK	2015	F	15	3	3	0	100840	36487	5123	880	118	155	0	0	0
SK	2015	F	15	3	1	1	2021	10296	0	0	0	0	0	0	0
SK	2015	F	15	3	1	2	2021	10296	0	0	0	0	0	0	0
SK	2015	F	15	3	1	4	2021	10296	0	0	0	0	0	0	0
SK	2015	F	15	3	1	3	2021	10296	0	0	0	0	0	0	0
SK	2015	F	15	3	1	0	100840	36487	5123	880	118	155	0	0	0
SK	2015	F	15	3	2	1	2021	10296	0	0	0	0	0	0	0
SK	2015	F	15	3	2	2	2021	10296	0	0	0	0	0	0	0
SK	2015	F	15	3	2	4	2021	10296	0	0	0	0	0	0	0
SK	2015	F	15	3	2	3	2021	10296	0	0	0	0	0	0	0
SK	2015	F	15	3	2	0	100840	36487	5123	880	118	155	0	0	0
SK	2015	F	15	2	0	1	2021	10296	0	0	0	0	0	0	0
SK	2015	F	15	2	0	2	2021	10296	0	0	0	0	0	0	0
SK	2015	F	15	2	0	4	2021	10296	0	0	0	0	0	0	0
SK	2015	F	15	2	0	3	2021	10296	0	0	0	0	0	0	0
SK	2015	F	15	2	0	0	100840	36487	5123	880	118	155	0	0	0
SK	2015	F	15	2	3	1	2021	10296	0	0	0	0	0	0	0
SK	2015	F	15	2	3	2	2021	10296	0	0	0	0	0	0	0
SK	2015	F	15	2	3	4	2021	10296	0	0	0	0	0	0	0
SK	2015	F	15	2	3	3	2021	10296	0	0	0	0	0	0	0
SK	2015	F	15	2	3	0	100840	36487	5123	880	118	155	0	0	0
SK	2015	F	15	2	1	1	2021	10296	0	0	0	0	0	0	0
SK	2015	F	15	2	1	2	2021	10296	0	0	0	0	0	0	0
SK	2015	F	15	2	1	4	2021	10296	0	0	0	0	0	0	0
SK	2015	F	15	2	1	3	2021	10296	0	0	0	0	0	0	0
SK	2015	F	15	2	1	0	100840	36487	5123	880	118	155	0	0	0
SK	2015	F	15	2	2	1	2021	10296	0	0	0	0	0	0	0
SK	2015	F	15	2	2	2	2021	10296	0	0	0	0	0	0	0
SK	2015	F	15	2	2	4	2021	10296	0	0	0	0	0	0	0
SK	2015	F	15	2	2	3	2021	10296	0	0	0	0	0	0	0
SK	2015	F	15	2	2	0	100840	36487	5123	880	118	155	0	0	0
SK	2015	F	15	1	0	1	2021	10296	0	0	0	0	0	0	0
SK	2015	F	15	1	0	2	2021	10296	0	0	0	0	0	0	0
SK	2015	F	15	1	0	4	2021	10296	0	0	0	0	0	0	0
